iter	Poisson
0	0.9384074329
1	0.882615712
2	0.8320285134
3	0.786132141
4	0.7443981412
5	0.7063097666
6	0.6715831456
7	0.6398563244
8	0.6108778722
9	0.5843740666
10	0.5600739872
11	0.5377820559
12	0.5173209072
13	0.4984884874
14	0.4811849836
15	0.4652612681
16	0.450514291
17	0.4369672152
18	0.4244077439
19	0.4128120293
20	0.4020694865
21	0.392133696
22	0.3829088925
23	0.3743554123
24	0.366429451
25	0.3590476655
26	0.3521939287
27	0.3458003392
28	0.3398706643
29	0.3343658319
30	0.3292090676
31	0.3243900043
32	0.3199066804
33	0.3157018733
34	0.3117891571
35	0.3081115582
36	0.3046718162
37	0.3014597196
38	0.2984435125
39	0.2956356793
40	0.2929811767
41	0.2905102661
42	0.2881991929
43	0.286015423
44	0.2839653698
45	0.2820440831
46	0.2802395145
47	0.278518694
48	0.2769082403
49	0.2754160925
50	0.2740103079
51	0.2726752889
52	0.2714192235
53	0.2702297829
54	0.2691109522
55	0.2680548859
56	0.2670610236
57	0.2661280887
58	0.2652486406
59	0.2644138995
60	0.2636307461
61	0.2628710359
62	0.2621686106
63	0.2614978477
64	0.260856599
65	0.2602562591
66	0.2596940574
67	0.2591598287
68	0.2586514561
69	0.2581723175
70	0.2577131197
71	0.2572752947
72	0.2568601347
73	0.256469165
74	0.256102666
75	0.2557420045
76	0.2554151847
77	0.2550998529
78	0.2548022048
79	0.2545200454
80	0.2542511331
81	0.2539896306
82	0.253741702
83	0.2535016034
84	0.2532818659
85	0.2530721844
86	0.2528682937
87	0.2526803742
88	0.2525036315
89	0.2523351235
90	0.2521675029
91	0.2520151997
92	0.2518610752
93	0.2517125236
94	0.2515792427
95	0.25144014
96	0.251313506
97	0.2511971304
98	0.2510783421
99	0.2509666987
100	0.250863508
101	0.2507578267
102	0.2506584653
103	0.250568584
104	0.2504796056
105	0.250397025
106	0.2503195658
107	0.2502421222
108	0.2501604289
109	0.2500870637
110	0.2500170609
111	0.2499447854
112	0.2498782384
113	0.2498098234
114	0.2497460316
115	0.2496876103
116	0.249631057
117	0.2495722155
118	0.2495132805
119	0.2494516681
120	0.2494042679
121	0.2493557469
122	0.2493089227
123	0.2492631104
124	0.2492203646
125	0.249174272
126	0.2491344372
127	0.2490952717
128	0.2490495995
129	0.2490054994
130	0.2489702567
131	0.2489288186
132	0.2488932645
133	0.2488600766
134	0.2488274647
135	0.2487900738
136	0.2487592365
137	0.2487268736
138	0.248689654
139	0.2486569487
140	0.2486268429
141	0.248593764
142	0.2485648725
143	0.2485366192
144	0.2485064668
145	0.2484767191
146	0.2484506451
147	0.248417535
148	0.2483917724
149	0.2483628497
150	0.2483386281
151	0.2483155429
152	0.2482932983
153	0.2482681583
154	0.2482459137
155	0.2482243541
156	0.2482013467
157	0.2481800361
158	0.2481558612
159	0.2481310325
160	0.248108461
161	0.2480817333
162	0.2480570914
163	0.248034084
164	0.2480143145
165	0.2479923968
166	0.2479714753
167	0.2479513478
168	0.2479314382
169	0.2479086643
170	0.2478906227
171	0.2478727834
172	0.2478550219
173	0.2478355015
174	0.2478178646
175	0.2477935807
176	0.2477687209
177	0.2477462428
178	0.2477263488
179	0.2477111247
180	0.247693301
181	0.2476745588
182	0.247654587
183	0.2476387713
184	0.2476210099
185	0.2476040268
186	0.2475883046
187	0.2475646745
188	0.2475484075
189	0.2475332457
190	0.2475171343
191	0.2474994818
192	0.2474846936
193	0.2474709172
194	0.2474533581
195	0.2474364372
196	0.247420357
197	0.2474010856
198	0.2473878384
199	0.2473744823
200	0.2473618579
201	0.2473442054
202	0.2473287167
203	0.2473093363
204	0.2472870139
205	0.2472689255
206	0.2472536547
207	0.2472376834
208	0.247223658
209	0.247209041
210	0.2471830137
211	0.2471643338
212	0.2471475842
213	0.2471351777
214	0.2471230046
215	0.247111392
216	0.2470945178
217	0.2470802433
218	0.2470566755
219	0.24704416
220	0.2470298544
221	0.2470129958
222	0.2469976783
223	0.2469729119
224	0.2469596492
225	0.2469433977
226	0.2469215734
227	0.2469065517
228	0.2468943786
229	0.2468779092
230	0.2468627941
231	0.2468512904
232	0.2468367979
233	0.2468258235
234	0.2468134325
235	0.246799267
236	0.2467865024
237	0.2467697995
238	0.2467553226
239	0.2467408301
240	0.2467231621
241	0.2467112692
242	0.2466952979
243	0.2466783615
244	0.2466647096
245	0.2466515715
246	0.2466368922
247	0.2466235517
248	0.2466094484
249	0.2465973065
250	0.246585149
251	0.2465735363
252	0.2465626242
253	0.2465540626
254	0.2465393833
255	0.2465190689
256	0.2465051991
257	0.2464900684
258	0.2464748132
259	0.2464628425
260	0.2464485369
261	0.2464382318
262	0.2464203147
263	0.2464087176
264	0.2463949101
265	0.2463798572
266	0.2463716381
267	0.2463579551
268	0.2463446457
269	0.246334076
270	0.2463228058
271	0.2463103214
272	0.2462963893
273	0.2462826752
274	0.246267887
275	0.2462530521
276	0.2462386063
277	0.2462248143
278	0.246212221
279	0.246198896
280	0.2461845903
281	0.2461706583
282	0.2461581895
283	0.2461468881
284	0.2461329872
285	0.246120783
286	0.2461089057
287	0.2460973242
288	0.2460867701
289	0.2460740211
290	0.246061599
291	0.2460458456
292	0.2460323494
293	0.2460171876
294	0.2460050612
295	0.2459882494
296	0.245974006
297	0.2459613971
298	0.2459483834
299	0.2459355721
300	0.2459212353
301	0.2459096071
302	0.2458945543
303	0.2458811203
304	0.2458631098
305	0.2458507655
306	0.2458399312
307	0.2458287544
308	0.2458191343
309	0.245807833
310	0.2457933872
311	0.2457818213
312	0.2457703487
313	0.2457562298
314	0.2457427959
315	0.2457282412
316	0.2457156167
317	0.2457022139
318	0.2456881573
319	0.2456750347
320	0.2456613673
321	0.245648556
322	0.2456392783
323	0.2456267317
324	0.2456156638
325	0.2456044559
326	0.2455931546
327	0.2455816665
328	0.2455724199
329	0.245559562
330	0.2455474668
331	0.2455349357
332	0.2455200074
333	0.2455086593
334	0.2454964707
335	0.2454850449
336	0.2454733077
337	0.245461913
338	0.245451281
339	0.2454370999
340	0.2454182955
341	0.2454054219
342	0.2453908205
343	0.2453783206
344	0.2453669258
345	0.2453555467
346	0.2453424708
347	0.2453313563
348	0.2453190587
349	0.2453049087
350	0.2452898558
351	0.245277745
352	0.2452632681
353	0.245251064
354	0.2452385796
355	0.2452250211
356	0.2452155411
357	0.2452048002
358	0.2451932809
359	0.2451808588
360	0.2451689504
361	0.2451581316
362	0.2451476865
363	0.2451381597
364	0.2451238074
365	0.2451134556
366	0.2451004575
367	0.2450873505
368	0.245076703
369	0.2450642653
370	0.2450510493
371	0.2450393277
372	0.2450284466
373	0.2450162892
374	0.2450070582
375	0.2449987301
376	0.2449842065
377	0.2449714108
378	0.2449528554
379	0.2449415386
380	0.2449300971
381	0.2449211931
382	0.2449109347
383	0.2448987928
384	0.2448872891
385	0.2448756142
386	0.2448622736
387	0.2448503497
388	0.2448401847
389	0.2448274824
390	0.2448166636
391	0.244806343
392	0.2447912279
393	0.2447769845
394	0.2447666327
395	0.2447562498
396	0.2447480618
397	0.2447373832
398	0.2447263776
399	0.2447156678
400	0.2447043509
